PID,Product Name,Category,Final Price,Initial Price,Color,Primary Color,Fabric
CL0036983, Heather stripe knit faux-wrap skirt, Skirt,44.95,31.95, Black/gray, Black, Cotton Spandex
CL0036902, Graphic floral print colorblock dress, Dress,89.95,62.95, Black/cream/navy multi, Black, Cotton Spandex
CL0037020, Lace-up neck tiered knit dress, Dress,69.95,52.95, Coral, Coral, Viscose Spandex
CL0037074, Tie front heather knit shrug, Jacket,39.95,29.95, Light indigo, Light indigo, Polyester
CL0036848, Cotton knit elastic drawstring skirt, Skirt,54.95,38.95, Purple, Purple, Cotton Spandex
CL0037030, Floral stripe print corset dress, Dress,59.95,44.95, Red/cream, Red, Cotton
CL0037175, Floral print georgette maxi dress, Dress,99.95,74.95, Pale blue/orange/brown, Pale blue, Polyester
CL0037001, Graphic rose stripe print shift dress, Dress,89.95,67.95, Navy/white, Navy, Polyester Crepe de Chine
CL0037003, Leaf print crepe popover midi dress, Dress,99.95,69.95, Off-white/blue multi, Off-white, Polyester Crepe de Chine
CL0037085, Chevron stripe colorblock maxi dress, Dress,99.95,79.95, Black/white/eggplant, Black, Cotton
CL0036457, Floral print chiffon peasant blouse, Top,86.95,56.95, Light blue multi, Light blue multi, Polyester
CL0037082, Pleated surplice cotton knit wrap dress, Dress,79.95,59.95, Purple, Purple, Cotton Spandex
CL0032794, Belted chambray denim shirtdress, Dress,64.95,48.95, Deep indigo, Deep indigo, Cotton
CL0036148, Notch neck belted crepe print dress, Dress,79.95,39.95, Black/off-white, Black, Polyester Crepe de Chine
CL0037042, Chevron stripe high-low tee with split back, Top,69.95,52.95, Black/gray, Black, Cotton Spandex
CL0037036, Elastic waist faux wrap knit skirt, Skirt,54.95,38.95, Orange, Orange, Cotton Spandex
CL0037064, Tie front cotton knit shrug, Jacket,39.95,29.95, Black, Black, Cotton Spandex
CL0036979, Watercolor splash print crepe tunic dress, Dress,79.95,55.95, Off-white/blue multi, Off-white, Polyester Crepe de Chine
CL0031423, Cotton poplin wrap blouse, Top,49.95,37.95, Spring green, Spring green, Cotton
CL0027619, Floral drawstring front dress, Dress,96.95,67.95, Poppy red/cream, Poppy red, Cotton
CL0036028, Ruffle back detail flared silk gown, Dress,699.95,699.95, Ivory, Ivory, Silk
CL0026054, Shawl collar poplin shirtdress, Dress,59.95,41.95, Poppy red, Poppy red, Cotton
CL0033770, Belted chambray denim shirtdress, Dress,64.95,48.95, Deep indigo, Deep indigo, Cotton
CL0036441, Piped trim cotton eyelet dress, Dress,144.95,86.95, Off-white, Off-white, Cotton
CL0036917, Embellished belt mixed print dress, Dress,86.95,60.95, Navy/off-white, Navy, Cotton Polyester
CL0036758, Seagull print pleated cotton knit dress, Dress,89.95,67.95, Light blue/white/black, Light blue, Cotton Spandex
CL0037110, Pleat front chambray denim maxi dress, Dress,69.95,52.95, Indigo, Indigo, Cotton
