query,hits,clicks,clickThroughs,ctr,carts,orders,overall_score
Trapeze dress,50,123,36,72.0,8,1,182
A  line ,45,122,34,75.56,12,1,180
Pleat front chambray denim maxi dress-Indigo,37,98,19,51.35,41,3,179
virginia dresses,50,110,36,72.0,15,2,177
Grace ,57,116,36,63.16,3,0,176
Navy blue dresses ,51,107,34,66.67,15,2,175
Returns,39,118,12,30.77,18,0,175
Eyelet ,41,117,35,85.37,15,0,173
Chevron stripe colorblock maxi dress-Black/white/eggplant,59,95,21,35.59,18,0,172
a-line,36,129,30,83.33,6,0,171
Jumpsuits,69,88,41,59.42,13,1,171
coats,73,94,12,16.44,2,0,169
Cotton knit ,40,100,20,50.0,25,0,165
Checked,62,90,38,61.29,12,0,164
Pink dresses ,74,83,33,44.59,6,0,163
Embellished,50,109,34,68.0,3,0,162
feminine,39,117,23,58.97,5,1,162
Bird dress ,54,84,36,66.67,21,1,160
skater dresses,43,100,29,67.44,15,0,158
sweaters,39,106,23,58.97,10,0,155
Corset ,46,98,35,76.09,8,2,154
Feminine pleated knit dress-Navy blue,37,101,19,51.35,16,0,154
Caftan ,46,86,35,76.09,18,1,151
Chevron stripe colorblock maxi dress	,51,78,31,60.78,21,1,151
Floral stripe print belted dress-Red/cream,47,94,17,36.17,9,0,150
Teal dresses,122,25,13,10.66,2,0,149
Rabbit ,51,76,26,50.98,20,0,147
Kayla dress-Deep navy,59,59,18,30.51,25,4,147
Eggplant ,51,89,26,50.98,6,0,146
Dahlia ,49,86,38,77.55,9,2,146
Pintuck pleat crinkle cotton trapeze dress-Sunset yellow,23,101,8,34.78,20,1,145
Belts,39,90,25,64.1,14,1,144
Cotton knit dresses,48,74,27,56.25,18,4,144
Long Sleeve Dresses,37,98,21,56.76,8,0,143
tulle skirt,57,79,22,38.6,6,1,143
Gowns ,42,92,27,64.29,6,0,140
Retro chambray shirtdress-Indigo,52,65,17,32.69,21,0,138
Peplum ,51,73,20,39.22,12,2,138
Jacquard ,19,110,13,68.42,9,0,138
Organza ,36,100,26,72.22,0,0,136
Wedding,45,88,31,68.89,2,0,135
Chevron stripe colorblock maxi dress-White/black,46,76,12,26.09,12,0,134
striped dress,37,87,29,78.38,9,0,133
dots,45,68,26,57.78,19,1,133
 CL0032310,29,66,13,44.83,38,0,133
Sash waist chambray dress-Indigo,24,73,11,45.83,28,7,132
Tie neck poplin dress-Black,54,58,13,24.07,18,0,130
Linen ,41,87,20,48.78,2,0,130
Feminine pleated knit dress,38,84,29,76.32,7,1,130
butterfly,44,79,33,75.0,6,0,129
Piped trim polka dot print dress-Off-white/navy,30,80,18,60.0,19,0,129
black and white,43,80,31,72.09,6,0,129
trellis,52,62,29,55.77,13,1,128
Cotton knit curve waist dress,21,97,13,61.9,8,0,126
chelsea dresses,24,93,18,75.0,8,0,125
CL0030370 ,41,52,29,70.73,30,2,125
Peasant ,16,78,13,81.25,30,1,125
"""drop waist""",32,83,25,78.13,8,0,123
Obi ,32,67,13,40.63,22,1,122
Bows,34,80,19,55.88,8,0,122
Elastic waist dress,23,90,17,73.91,8,0,121
Shrugs,47,63,22,46.81,9,2,121
Navy blue,45,71,30,66.67,2,1,119
embroidered,41,63,26,63.41,15,0,119
dogs,33,76,26,78.79,8,0,117
