query,hits,clicks,clickThroughs,ctr,carts,orders
Plus,27,67,17,62.96,8,0
Diamond ,27,38,20,74.07,8,0
Polka dot voile print keyhole dress-Royal blue/off-white,27,7,7,25.93,0,0
cowle,26,19,11,42.31,4,1
Smocked,26,50,21,80.77,2,0
sateen ,26,24,11,42.31,0,0
Vintage denim chambray dress-Indigo,26,20,9,34.62,8,0
CL0034516 ,26,45,19,73.08,9,1
CL0034517 ,26,21,10,38.46,2,0
glasses,26,12,7,26.92,2,0
Kayla dress-Eggplant,26,34,8,30.77,6,0
referral,26,7,3,11.54,0,0
Midi ,25,29,12,48,4,0
 Cream,25,44,16,64,0,0
daisy,25,30,18,72,2,0
Kayla dress ,25,42,20,80,4,0
fit and flare dresses ,25,66,17,68,13,3
Strapless ,25,56,19,76,2,0
Jersey knit,25,44,14,56,12,0
Chelsea dress-Prussian blue,25,41,9,36,12,0
Daisy dress-Deep navy,25,12,8,32,2,0
Dandelion ,25,42,16,64,6,0
CL0030567 ,24,30,16,66.67,5,1
Sash waist chambray dress-Indigo,24,73,11,45.83,28,7
Cotton knit fit and flare dress-Black,24,60,11,45.83,5,0
Cotton knit fit and flare,24,62,17,70.83,8,0
Roses,24,33,11,45.83,2,0
Swimsuit ,24,33,7,29.17,4,1
Havana dress-Poppy red,24,22,6,25,0,0
ivory dresses,24,42,13,54.17,0,0
Black and white dress,24,35,15,62.5,2,1
chelsea dresses,24,93,18,75,8,0
loden ,24,24,12,50,4,0
long sleeve,24,68,14,58.33,12,0
Lavender dress,24,57,11,45.83,4,0
CL0032653 ,24,18,13,54.17,12,3
Havana dress-Eggplant,24,15,7,29.17,6,1
Victoria dress-Prussian blue,24,91,11,45.83,1330,0
Chevron striped,24,42,19,79.17,6,0
Surplice ,24,85,18,75,6,1
 Chevron dress,23,31,18,78.26,3,1
Chateau cotton poplin dress-Poppy red,23,27,7,30.43,13,2
Sweetheart ,23,58,18,78.26,9,0
Maxi skirts,23,16,10,43.48,0,0
Pintuck pleat crinkle cotton trapeze dress-Sunset yellow,23,101,8,34.78,20,1
sales,23,55,14,60.87,16,0
Ellen dress-Aqua multi,23,31,4,17.39,22,0
Black skirts,23,31,15,65.22,2,0
Floral gold lace A-line dress-Ecru/gold,23,17,4,17.39,4,0
Marilyn dress ,23,33,14,60.87,6,0
plus size tops,23,52,11,47.83,36,3
graphic ,23,48,15,65.22,2,0
Floral embellished tulle dress-Tomato red,23,20,7,30.43,6,0
denim skirts,23,23,13,56.52,4,0
Elastic waist dress,23,90,17,73.91,8,0
the morgan,23,25,12,52.17,2,0
cape,23,67,12,52.17,0,0
elastic,23,64,20,86.96,13,1
Chevron maxi ,23,18,14,60.87,0,0
Chevron stripe colorblock maxi dress-Spring green/white/deep navy,23,42,10,43.48,8,0
Empire waist stretch ottoman dress-Teal green,22,15,4,18.18,4,1
pencil ,22,24,11,50,2,0
Cowl neck ,22,27,13,59.09,0,0
bottle green,22,44,15,68.18,4,0
culottes,22,40,16,72.73,4,0
Chelsea dress-Black,22,17,5,22.73,4,0
Tulle dress,22,52,16,72.73,10,0
Fish ,21,39,9,42.86,0,0
Tile ,21,28,15,71.43,5,0
return policy,21,17,3,14.29,2,0
Cotton Poplin Dresses,21,65,15,71.43,8,0
Chevron stripe colorblock maxi dress-Deep navy/white/prussian blue,21,10,5,23.81,0,0
jeans,21,15,6,28.57,0,0
